Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 12 Sep 2015 (36),Motherwell FC (7),1-1,0-1,Ross County (7)
?,(Sat) 12 Sep 2015 (36),Partick Thistle (7),0-1,0-0,Dundee FC (7)
?,(Sat) 12 Sep 2015 (36),St Johnstone FC (7),4-1,3-0,Hamilton Academical FC (6)
?,(Tue) 15 Sep 2015 (37),Aberdeen FC (7),1-0,1-0,Hamilton Academical FC (7)
?,(Sat) 19 Sep 2015 (37),Dundee United (8),1-1,1-0,Inverness Caledonian Thistle (8)
?,(Sat) 19 Sep 2015 (37),Hamilton Academical FC (8),1-0,0-0,Motherwell FC (8)
?,(Sat) 19 Sep 2015 (37),Kilmarnock FC (8),2-1,1-1,St Johnstone FC (8)
?,(Sat) 19 Sep 2015 (37),Ross County (8),1-0,1-0,Partick Thistle (8)
?,(Sun) 20 Sep 2015 (37),Celtic FC (8),6-0,2-0,Dundee FC (8)
?,(Sun) 20 Sep 2015 (37),Heart of Midlothian FC (8),1-3,0-3,Aberdeen FC (8)
?,(Sat) 26 Sep 2015 (38),Celtic FC (9),0-0,0-0,Heart of Midlothian FC (9)
?,(Sat) 26 Sep 2015 (38),Dundee FC (9),3-3,1-3,Ross County (9)
?,(Sat) 26 Sep 2015 (38),Inverness Caledonian Thistle (9),2-1,2-1,Aberdeen FC (9)
?,(Sat) 26 Sep 2015 (38),Kilmarnock FC (9),1-2,1-0,Hamilton Academical FC (9)
?,(Sat) 26 Sep 2015 (38),Motherwell FC (9),2-1,1-0,Partick Thistle (9)
?,(Sat) 26 Sep 2015 (38),St Johnstone FC (9),2-1,0-1,Dundee United (9)
?,(Sat) 3 Oct 2015 (39),Aberdeen FC (10),1-5,1-3,St Johnstone FC (10)
?,(Sat) 3 Oct 2015 (39),Dundee FC (10),2-1,0-0,Motherwell FC (10)
?,(Sat) 3 Oct 2015 (39),Heart of Midlothian FC (10),1-1,1-0,Kilmarnock FC (10)
?,(Sat) 3 Oct 2015 (39),Partick Thistle (10),3-0,1-0,Dundee United (10)
?,(Sat) 3 Oct 2015 (39),Ross County (10),1-2,0-2,Inverness Caledonian Thistle (10)
?,(Sun) 4 Oct 2015 (39),Hamilton Academical FC (10),1-2,1-2,Celtic FC (10)
?,(Fri) 16 Oct 2015 (41),Ross County (11),2-0,1-0,Aberdeen FC (11)
?,(Sat) 17 Oct 2015 (41),Hamilton Academical FC (11),1-1,0-0,Dundee FC (11)
?,(Sat) 17 Oct 2015 (41),Kilmarnock FC (11),2-0,1-0,Inverness Caledonian Thistle (11)
?,(Sat) 17 Oct 2015 (41),Motherwell FC (11),0-1,0-1,Celtic FC (11)
?,(Sat) 17 Oct 2015 (41),St Johnstone FC (11),1-2,0-2,Partick Thistle (11)
?,(Sun) 18 Oct 2015 (41),Dundee United (11),0-1,0-1,Heart of Midlothian FC (11)
?,(Sat) 24 Oct 2015 (42),Aberdeen FC (12),1-1,1-0,Motherwell FC (12)
?,(Sat) 24 Oct 2015 (42),Dundee FC (12),1-2,0-1,Kilmarnock FC (12)
?,(Sat) 24 Oct 2015 (42),Heart of Midlothian FC (12),2-0,1-0,Ross County (12)
?,(Sat) 24 Oct 2015 (42),Inverness Caledonian Thistle (12),0-1,0-0,St Johnstone FC (12)
?,(Sat) 24 Oct 2015 (42),Partick Thistle (12),1-1,0-0,Hamilton Academical FC (12)
?,(Sun) 25 Oct 2015 (42),Celtic FC (12),5-0,3-0,Dundee United (12)
?,(Sat) 31 Oct 2015 (43),Celtic FC (13),3-1,1-0,Aberdeen FC (13)
?,(Sat) 31 Oct 2015 (43),Dundee United (13),1-0,0-0,Ross County (13)
?,(Sat) 31 Oct 2015 (43),Hamilton Academical FC (13),2-4,0-1,St Johnstone FC (13)
?,(Sat) 31 Oct 2015 (43),Inverness Caledonian Thistle (13),1-1,0-0,Dundee FC (13)
?,(Sat) 31 Oct 2015 (43),Kilmarnock FC (13),0-1,0-0,Motherwell FC (13)
?,(Sat) 31 Oct 2015 (43),Partick Thistle (13),0-4,0-1,Heart of Midlothian FC (13)
?,(Sat) 7 Nov 2015 (44),Aberdeen FC (14),2-0,0-0,Dundee United (14)
?,(Sat) 7 Nov 2015 (44),Dundee FC (14),1-1,0-1,Partick Thistle (14)
?,(Sat) 7 Nov 2015 (44),Heart of Midlothian FC (14),2-0,2-0,Hamilton Academical FC (14)
?,(Sat) 7 Nov 2015 (44),Motherwell FC (14),1-3,0-2,Inverness Caledonian Thistle (14)
?,(Sat) 7 Nov 2015 (44),St Johnstone FC (14),2-1,1-1,Kilmarnock FC (14)
?,(Sun) 8 Nov 2015 (44),Ross County (14),1-4,0-1,Celtic FC (14)
?,(Sat) 21 Nov 2015 (46),Celtic FC (15),0-0,0-0,Kilmarnock FC (15)
?,(Sat) 21 Nov 2015 (46),Dundee United (15),1-2,1-2,St Johnstone FC (15)
?,(Sat) 21 Nov 2015 (46),Heart of Midlothian FC (15),1-1,1-0,Dundee FC (15)
?,(Sat) 21 Nov 2015 (46),Partick Thistle (15),2-1,1-1,Inverness Caledonian Thistle (15)
?,(Sat) 21 Nov 2015 (46),Ross County (15),3-0,1-0,Motherwell FC (15)
?,(Sun) 22 Nov 2015 (46),Hamilton Academical FC (15),1-1,0-1,Aberdeen FC (15)
?,(Fri) 27 Nov 2015 (47),St Johnstone FC (16),1-1,1-1,Dundee FC (16)
?,(Sat) 28 Nov 2015 (47),Aberdeen FC (16),3-1,0-1,Ross County (16)
?,(Sat) 28 Nov 2015 (47),Dundee United (16),1-2,1-0,Hamilton Academical FC (16)
?,(Sat) 28 Nov 2015 (47),Kilmarnock FC (16),2-5,1-2,Partick Thistle (16)
?,(Sat) 28 Nov 2015 (47),Motherwell FC (16),2-2,1-1,Heart of Midlothian FC (16)
?,(Sun) 29 Nov 2015 (47),Inverness Caledonian Thistle (16),1-3,1-1,Celtic FC (16)
?,(Sat) 5 Dec 2015 (48),Dundee FC (17),0-2,0-2,Aberdeen FC (17)
?,(Sat) 5 Dec 2015 (48),Kilmarnock FC (17),1-1,1-1,Dundee United (17)
?,(Sat) 5 Dec 2015 (48),Ross County (17),2-3,0-2,St Johnstone FC (17)
?,(Sat) 12 Dec 2015 (49),Aberdeen FC (18),1-0,0-0,Heart of Midlothian FC (17)
?,(Sat) 12 Dec 2015 (49),Dundee United (18),0-1,0-0,Partick Thistle (17)
?,(Sat) 12 Dec 2015 (49),Hamilton Academical FC (17),1-3,1-0,Ross County (18)
?,(Sat) 12 Dec 2015 (49),Inverness Caledonian Thistle (17),2-1,2-0,Kilmarnock FC (18)
?,(Sat) 12 Dec 2015 (49),Motherwell FC (17),3-1,2-0,Dundee FC (18)
?,(Sun) 13 Dec 2015 (49),St Johnstone FC (18),0-3,0-1,Celtic FC (17)
?,(Sat) 19 Dec 2015 (50),Celtic FC (18),1-2,0-0,Motherwell FC (18)
?,(Sat) 19 Dec 2015 (50),Dundee FC (19),4-0,4-0,Hamilton Academical FC (18)
?,(Sat) 19 Dec 2015 (50),Inverness Caledonian Thistle (18),2-2,0-1,Dundee United (19)
?,(Sat) 19 Dec 2015 (50),Kilmarnock FC (19),0-4,0-2,Aberdeen FC (19)
?,(Sat) 19 Dec 2015 (50),Partick Thistle (18),1-0,0-0,Ross County (19)
?,(Sat) 19 Dec 2015 (50),St Johnstone FC (19),0-0,0-0,Heart of Midlothian FC (18)
?,(Sat) 26 Dec 2015 (51),Aberdeen FC (20),2-2,0-1,Inverness Caledonian Thistle (19)
?,(Sat) 26 Dec 2015 (51),Hamilton Academical FC (19),0-1,0-0,Kilmarnock FC (20)
?,(Sat) 26 Dec 2015 (51),Ross County (20),5-2,1-1,Dundee FC (20)
?,(Sun) 27 Dec 2015 (51),Heart of Midlothian FC (19),2-2,1-1,Celtic FC (19)
?,(Tue) 29 Dec 2015 (52),Ross County (21),3-2,1-1,Kilmarnock FC (21)
?,(Wed) 30 Dec 2015 (52),Aberdeen FC (21),0-0,0-0,Partick Thistle (19)
?,(Wed) 30 Dec 2015 (52),Hamilton Academical FC (20),3-4,0-1,Inverness Caledonian Thistle (20)
?,(Wed) 30 Dec 2015 (52),Heart of Midlothian FC (20),3-2,3-2,Dundee United (20)
?,(Wed) 30 Dec 2015 (52),Motherwell FC (19),2-0,2-0,St Johnstone FC (20)
?,(Sat) 2 Jan 2016 (0),Celtic FC (20),1-0,0-0,Partick Thistle (20)
?,(Sat) 2 Jan 2016 (0),Dundee FC (21),2-1,1-1,Dundee United (21)
?,(Sat) 2 Jan 2016 (0),Inverness Caledonian Thistle (21),2-0,2-0,Ross County (22)
?,(Sat) 2 Jan 2016 (0),Kilmarnock FC (22),2-2,1-1,Heart of Midlothian FC (21)
?,(Sat) 2 Jan 2016 (0),Motherwell FC (20),3-3,1-2,Hamilton Academical FC (21)
?,(Fri) 15 Jan 2016 (2),Dundee United (22),1-4,1-2,Celtic FC (21)
?,(Sat) 16 Jan 2016 (2),Heart of Midlothian FC (22),6-0,3-0,Motherwell FC (21)
?,(Sat) 16 Jan 2016 (2),Kilmarnock FC (23),2-1,1-1,Inverness Caledonian Thistle (22)
?,(Sat) 16 Jan 2016 (2),Partick Thistle (21),2-4,1-4,Dundee FC (22)
?,(Sat) 16 Jan 2016 (2),St Johnstone FC (21),0-0,0-0,Hamilton Academical FC (22)
?,(Sun) 17 Jan 2016 (2),Ross County (23),2-3,1-2,Aberdeen FC (22)
?,(Tue) 19 Jan 2016 (3),Celtic FC (22),8-1,5-0,Hamilton Academical FC (23)
?,(Fri) 22 Jan 2016 (3),Aberdeen FC (23),1-0,1-0,Dundee FC (23)
?,(Sat) 23 Jan 2016 (3),Celtic FC (23),3-1,2-1,St Johnstone FC (22)
?,(Sat) 23 Jan 2016 (3),Dundee United (23),5-1,4-0,Kilmarnock FC (24)
?,(Sat) 23 Jan 2016 (3),Inverness Caledonian Thistle (23),0-0,0-0,Partick Thistle (22)
?,(Sat) 23 Jan 2016 (3),Motherwell FC (22),1-2,0-1,Ross County (24)
?,(Sun) 24 Jan 2016 (3),Hamilton Academical FC (24),0-0,0-0,Heart of Midlothian FC (23)
?,(Sat) 30 Jan 2016 (4),Dundee FC (24),2-2,1-2,Motherwell FC (23)
?,(Sat) 30 Jan 2016 (4),Kilmarnock FC (25),0-1,0-0,Hamilton Academical FC (25)
?,(Tue) 2 Feb 2016 (5),Partick Thistle (23),1-0,0-0,Motherwell FC (24)
?,(Wed) 3 Feb 2016 (5),Aberdeen FC (24),2-1,2-0,Celtic FC (24)
?,(Sat) 6 Feb 2016 (5),St Johnstone FC (23),3-4,0-2,Aberdeen FC (25)
?,(Wed) 10 Feb 2016 (6),Ross County (25),0-3,0-0,Heart of Midlothian FC (24)
?,(Fri) 12 Feb 2016 (6),Dundee FC (25),2-0,1-0,St Johnstone FC (24)
?,(Sat) 13 Feb 2016 (6),Celtic FC (25),2-0,1-0,Ross County (26)
?,(Sat) 13 Feb 2016 (6),Hamilton Academical FC (26),0-0,0-0,Dundee United (24)
?,(Sat) 13 Feb 2016 (6),Motherwell FC (25),0-2,0-0,Kilmarnock FC (26)
?,(Mon) 15 Feb 2016 (7),Inverness Caledonian Thistle (24),3-1,1-1,Aberdeen FC (26)
?,(Tue) 16 Feb 2016 (7),Dundee United (25),0-3,0-1,Motherwell FC (26)
?,(Sat) 20 Feb 2016 (7),Celtic FC (26),3-0,0-0,Inverness Caledonian Thistle (25)
?,(Sat) 20 Feb 2016 (7),Dundee United (26),2-1,1-0,Heart of Midlothian FC (25)
?,(Sat) 20 Feb 2016 (7),Kilmarnock FC (27),0-0,0-0,Dundee FC (26)
?,(Sat) 20 Feb 2016 (7),Ross County (27),2-1,1-0,Hamilton Academical FC (27)
?,(Sat) 20 Feb 2016 (7),St Johnstone FC (25),2-1,1-1,Motherwell FC (27)
?,(Tue) 23 Feb 2016 (8),Partick Thistle (24),2-0,0-0,St Johnstone FC (26)
?,(Fri) 26 Feb 2016 (8),Hamilton Academical FC (28),1-1,0-1,Celtic FC (27)
?,(Sat) 27 Feb 2016 (8),Aberdeen FC (27),1-1,1-0,St Johnstone FC (27)
?,(Sat) 27 Feb 2016 (8),Dundee FC (27),1-1,0-1,Inverness Caledonian Thistle (26)
?,(Sat) 27 Feb 2016 (8),Heart of Midlothian FC (26),1-0,1-0,Kilmarnock FC (28)
?,(Sat) 27 Feb 2016 (8),Motherwell FC (28),3-1,1-0,Partick Thistle (25)
?,(Sat) 27 Feb 2016 (8),Ross County (28),0-3,0-1,Dundee United (27)
?,(Tue) 1 Mar 2016 (9),Heart of Midlothian FC (27),2-0,1-0,Inverness Caledonian Thistle (27)
?,(Tue) 1 Mar 2016 (9),Kilmarnock FC (29),0-2,0-1,Ross County (29)
?,(Wed) 2 Mar 2016 (9),Celtic FC (28),0-0,0-0,Dundee FC (28)
?,(Wed) 2 Mar 2016 (9),Dundee United (28),0-1,0-1,Aberdeen FC (28)
?,(Wed) 2 Mar 2016 (9),St Johnstone FC (28),1-2,0-2,Partick Thistle (26)
?,(Sat) 5 Mar 2016 (9),Hamilton Academical FC (29),0-1,0-1,Motherwell FC (29)
?,(Sat) 5 Mar 2016 (9),Heart of Midlothian FC (28),1-0,1-0,Partick Thistle (27)
?,(Tue) 8 Mar 2016 (10),Partick Thistle (28),1-2,0-0,Aberdeen FC (29)
?,(Wed) 9 Mar 2016 (10),St Johnstone FC (29),1-0,0-0,Inverness Caledonian Thistle (28)
?,(Fri) 11 Mar 2016 (10),Motherwell FC (30),2-1,1-1,Dundee United (29)
?,(Sat) 12 Mar 2016 (10),Aberdeen FC (30),2-1,1-0,Kilmarnock FC (30)
?,(Sat) 12 Mar 2016 (10),Dundee FC (29),0-1,0-0,Heart of Midlothian FC (29)
?,(Sat) 12 Mar 2016 (10),Inverness Caledonian Thistle (29),0-1,0-0,Hamilton Academical FC (30)
?,(Sat) 12 Mar 2016 (10),Partick Thistle (29),1-2,0-1,Celtic FC (29)
?,(Wed) 16 Mar 2016 (11),St Johnstone FC (30),1-1,1-0,Ross County (30)
?,(Sat) 19 Mar 2016 (11),Hamilton Academical FC (31),1-2,1-0,Partick Thistle (30)
?,(Sat) 19 Mar 2016 (11),Heart of Midlothian FC (30),0-3,0-2,St Johnstone FC (31)
?,(Sat) 19 Mar 2016 (11),Kilmarnock FC (31),0-1,0-0,Celtic FC (30)
?,(Sat) 19 Mar 2016 (11),Motherwell FC (31),2-1,0-1,Aberdeen FC (31)
?,(Sat) 19 Mar 2016 (11),Ross County (31),0-3,0-2,Inverness Caledonian Thistle (30)
?,(Sun) 20 Mar 2016 (11),Dundee United (30),2-2,0-2,Dundee FC (30)
?,(Sat) 2 Apr 2016 (13),Celtic FC (31),3-1,2-1,Heart of Midlothian FC (31)
?,(Sat) 2 Apr 2016 (13),Dundee FC (31),5-2,3-2,Ross County (32)
?,(Sat) 2 Apr 2016 (13),Inverness Caledonian Thistle (31),1-2,0-0,Motherwell FC (32)
?,(Sat) 2 Apr 2016 (13),Partick Thistle (31),0-0,0-0,Kilmarnock FC (32)
?,(Sat) 2 Apr 2016 (13),St Johnstone FC (32),0-1,0-1,Dundee United (31)
?,(Sun) 3 Apr 2016 (13),Aberdeen FC (32),3-0,3-0,Hamilton Academical FC (32)
?,(Tue) 5 Apr 2016 (14),Dundee FC (32),0-0,0-0,Celtic FC (32)
?,(Tue) 5 Apr 2016 (14),Partick Thistle (32),1-0,0-0,Dundee United (32)
?,(Fri) 8 Apr 2016 (14),Heart of Midlothian FC (32),2-1,1-1,Aberdeen FC (33)
?,(Sat) 9 Apr 2016 (14),Dundee United (33),0-2,0-1,Inverness Caledonian Thistle (32)
?,(Sat) 9 Apr 2016 (14),Hamilton Academical FC (33),2-1,2-0,Dundee FC (33)
?,(Sat) 9 Apr 2016 (14),Kilmarnock FC (33),3-0,1-0,St Johnstone FC (33)
?,(Sat) 9 Apr 2016 (14),Motherwell FC (33),1-2,0-1,Celtic FC (33)
?,(Sat) 9 Apr 2016 (14),Ross County (33),1-0,1-0,Partick Thistle (33)
?,(Tue) 12 Apr 2016 (15),Inverness Caledonian Thistle (33),0-0,0-0,Heart of Midlothian FC (33)
?,(Fri) 22 Apr 2016 (16),St Johnstone FC (34),3-0,2-0,Aberdeen FC (34)
?,(Sat) 23 Apr 2016 (16),Motherwell FC (34),1-0,1-0,Heart of Midlothian FC (34)
?,(Sat) 23 Apr 2016 (16),Partick Thistle (34),1-2,0-1,Dundee FC (34)
?,(Sun) 24 Apr 2016 (16),Celtic FC (34),1-1,1-0,Ross County (34)
?,(Sun) 24 Apr 2016 (16),Dundee United (34),1-3,0-1,Hamilton Academical FC (34)
?,(Sun) 24 Apr 2016 (16),Inverness Caledonian Thistle (34),3-1,0-1,Kilmarnock FC (34)
?,(Sat) 30 Apr 2016 (17),Aberdeen FC (35),4-1,2-0,Motherwell FC (35)
?,(Sat) 30 Apr 2016 (17),Hamilton Academical FC (35),0-4,0-2,Kilmarnock FC (35)
?,(Sat) 30 Apr 2016 (17),Heart of Midlothian FC (35),1-3,0-1,Celtic FC (35)
?,(Sat) 30 Apr 2016 (17),Partick Thistle (35),1-4,0-1,Inverness Caledonian Thistle (35)
?,(Sat) 30 Apr 2016 (17),Ross County (35),0-1,0-0,St Johnstone FC (35)
?,(Mon) 2 May 2016 (18),Dundee FC (35),2-1,0-0,Dundee United (35)
?,(Fri) 6 May 2016 (18),Inverness Caledonian Thistle (36),2-3,0-2,Dundee United (36)
?,(Sat) 7 May 2016 (18),Dundee FC (36),0-1,0-1,Hamilton Academical FC (36)
?,(Sat) 7 May 2016 (18),Heart of Midlothian FC (36),1-1,0-0,Ross County (36)
?,(Sat) 7 May 2016 (18),Kilmarnock FC (36),0-2,0-1,Partick Thistle (36)
?,(Sat) 7 May 2016 (18),Motherwell FC (36),1-2,1-2,St Johnstone FC (36)
?,(Sun) 8 May 2016 (18),Celtic FC (36),3-2,2-0,Aberdeen FC (36)
?,(Tue) 10 May 2016 (19),Dundee United (37),3-3,0-2,Partick Thistle (37)
?,(Wed) 11 May 2016 (19),Dundee FC (37),1-1,1-0,Kilmarnock FC (37)
?,(Wed) 11 May 2016 (19),Hamilton Academical FC (37),0-1,0-1,Inverness Caledonian Thistle (37)
?,(Wed) 11 May 2016 (19),Ross County (37),1-3,0-2,Motherwell FC (37)
?,(Wed) 11 May 2016 (19),St Johnstone FC (37),2-1,0-0,Celtic FC (37)
?,(Thu) 12 May 2016 (19),Aberdeen FC (37),0-1,0-0,Heart of Midlothian FC (37)
?,(Sat) 14 May 2016 (19),Inverness Caledonian Thistle (38),4-0,0-0,Dundee FC (38)
?,(Sat) 14 May 2016 (19),Kilmarnock FC (38),2-4,2-1,Dundee United (38)
?,(Sat) 14 May 2016 (19),Partick Thistle (38),2-2,2-2,Hamilton Academical FC (38)
?,(Sun) 15 May 2016 (19),Aberdeen FC (38),0-4,0-2,Ross County (38)
?,(Sun) 15 May 2016 (19),Celtic FC (38),7-0,3-0,Motherwell FC (38)
?,(Sun) 15 May 2016 (19),Heart of Midlothian FC (38),2-2,2-2,St Johnstone FC (38)
